city,districts,state,Environmental Stance,Latitude,Longitude,aqi,idx,carbon_intensity,temp_f,is_day,wind_mph,wind_degree,pressure_in,precip_in,humidity,cloud,feelslike_f,windchill_f,heatindex_f,dewpoint_f,vis_miles,uv,gust_mph,livability,livability_percentile
Arlington Heights,['IL-9'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,12.5,40.0,29.82,0.02,83.0,100.0,60.1,60.6,62.2,59.9,9.0,4.0,17.0,73.79417283960478,87.71695594125501
Evanston,['IL-9'],Illinois,0.0,42.1406,-87.7994,26.0,7404.0,349.0,60.1,1.0,23.0,20.0,29.79,0.04,86.0,100.0,60.1,59.5,61.5,57.0,4.0,4.0,27.5,73.34797566074998,82.51001335113484
Decatur,['AL-5'],Alabama,0.0,39.8669,-88.9256,34.0,7401.0,311.0,78.1,1.0,12.5,210.0,29.79,0.0,64.0,75.0,82.7,71.0,75.4,64.7,9.0,5.0,19.7,72.32061462895113,46.86248331108144
Schaumburg,['IL-8'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,23.0,20.0,29.79,0.02,86.0,100.0,60.1,61.1,62.8,61.7,4.0,4.0,27.5,73.41330749518126,83.44459279038719
Bolingbrook,['IL-11'],Illinois,97.2222222222222,41.7714,-88.1522,18.0,9535.0,349.0,75.6,1.0,5.6,230.0,29.76,0.02,69.0,100.0,78.9,70.2,72.4,63.8,8.0,5.0,12.9,71.70627310774141,10.68090787716956
Palatine,['IL-6'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,12.5,40.0,29.82,0.02,83.0,100.0,60.1,60.3,61.8,59.6,9.0,4.0,17.0,73.72940503459408,87.24966622162884
Skokie,['IL-9'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,23.0,20.0,29.79,0.03,86.0,100.0,60.1,60.3,62.0,57.4,4.0,4.0,27.5,73.4779697043882,84.64619492656877
Des Plaines,['IL-9'],Illinois,0.0,42.0603,-87.8631,24.0,9523.0,349.0,60.1,1.0,23.0,20.0,29.79,0.02,86.0,100.0,60.1,61.3,62.9,59.8,4.0,4.0,27.5,73.39719679754033,83.17757009345794
Orland Park,['IL-3'],Illinois,0.0,41.6708,-87.7325,26.0,7402.0,349.0,62.1,1.0,21.7,360.0,29.79,0.01,84.0,100.0,62.1,70.1,72.4,63.6,1.0,5.0,26.2,72.34156136698807,49.13217623497997
Tinley Park,['IL-3'],Illinois,0.0,41.6708,-87.7325,26.0,7402.0,349.0,62.1,1.0,21.7,360.0,29.79,0.01,84.0,100.0,62.1,69.9,70.8,63.8,1.0,5.0,26.2,72.43543407276455,55.407209612817084
Oak Lawn,['IL-3'],Illinois,0.0,41.6708,-87.7325,26.0,7402.0,349.0,62.1,1.0,21.7,360.0,29.79,0.01,84.0,100.0,62.1,70.7,72.7,63.3,1.0,5.0,26.2,72.32691687658043,47.79706275033378
Berwyn,['IL-4'],Illinois,0.0,41.864329,-87.748826,26.0,7595.0,349.0,62.1,1.0,21.7,360.0,29.79,0.01,84.0,100.0,62.1,67.5,68.4,61.5,1.0,4.0,26.2,72.63546284947147,66.08811748998666
